# Year  Mon  Day  JD           Ayanamsa
1901   3  24   2415467.5    22.4773
1901   3  25   2415468.5    22.4773
1901   3  26   2415469.5    22.4773
1901   3  27   2415470.5    22.4774
1901   3  28   2415471.5    22.4774
1901   3  29   2415472.5    22.4774
1901   3  30   2415473.5    22.4775
1901   3  31   2415474.5    22.4775
1901   4   1   2415475.5    22.4776
1901   4   2   2415476.5    22.4776
1901   4   3   2415477.5    22.4776
1901   4   4   2415478.5    22.4777
1901   4   5   2415479.5    22.4777
1901   4   6   2415480.5    22.4777
1901   4   7   2415481.5    22.4778
1901   4   8   2415482.5    22.4778
1901   4   9   2415483.5    22.4779
1901   4  10   2415484.5    22.4779
1901   4  11   2415485.5    22.4779
1901   4  12   2415486.5    22.4780
1901   4  13   2415487.5    22.4780
1901   4  14   2415488.5    22.4781
1901   4  15   2415489.5    22.4781
1901   4  16   2415490.5    22.4781
1901   4  17   2415491.5    22.4782
1901   4  18   2415492.5    22.4782
1901   4  19   2415493.5    22.4782
1901   4  20   2415494.5    22.4783
1901   4  21   2415495.5    22.4783
1901   4  22   2415496.5    22.4784
1901   4  23   2415497.5    22.4784
1901   4  24   2415498.5    22.4784
1901   4  25   2415499.5    22.4785
1901   4  26   2415500.5    22.4785
1901   4  27   2415501.5    22.4786
1901   4  28   2415502.5    22.4786
1901   4  29   2415503.5    22.4786
1901   4  30   2415504.5    22.4787
1901   5   1   2415505.5    22.4787
1901   5   2   2415506.5    22.4787
1901   5   3   2415507.5    22.4788
1901   5   4   2415508.5    22.4788
1901   5   5   2415509.5    22.4789
1901   5   6   2415510.5    22.4789
1901   5   7   2415511.5    22.4789
1901   5   8   2415512.5    22.4790
1901   5   9   2415513.5    22.4790
1901   5  10   2415514.5    22.4790
1901   5  11   2415515.5    22.4791
1901   5  12   2415516.5    22.4791
1901   5  13   2415517.5    22.4792
1901   5  14   2415518.5    22.4792
1901   5  15   2415519.5    22.4792
1901   5  16   2415520.5    22.4793
1901   5  17   2415521.5    22.4793
1901   5  18   2415522.5    22.4794
1901   5  19   2415523.5    22.4794
1901   5  20   2415524.5    22.4794
1901   5  21   2415525.5    22.4795
1901   5  22   2415526.5    22.4795
1901   5  23   2415527.5    22.4795
1901   5  24   2415528.5    22.4796
1901   5  25   2415529.5    22.4796
1901   5  26   2415530.5    22.4797
1901   5  27   2415531.5    22.4797
1901   5  28   2415532.5    22.4797
1901   5  29   2415533.5    22.4798
1901   5  30   2415534.5    22.4798
1901   5  31   2415535.5    22.4799
1901   6   1   2415536.5    22.4799
1901   6   2   2415537.5    22.4799
1901   6   3   2415538.5    22.4800
1901   6   4   2415539.5    22.4800
1901   6   5   2415540.5    22.4800
1901   6   6   2415541.5    22.4801
1901   6   7   2415542.5    22.4801
1901   6   8   2415543.5    22.4802
1901   6   9   2415544.5    22.4802
1901   6  10   2415545.5    22.4802
1901   6  11   2415546.5    22.4803
1901   6  12   2415547.5    22.4803
1901   6  13   2415548.5    22.4803
1901   6  14   2415549.5    22.4804
1901   6  15   2415550.5    22.4804
1901   6  16   2415551.5    22.4805
1901   6  17   2415552.5    22.4805
1901   6  18   2415553.5    22.4805
1901   6  19   2415554.5    22.4806
1901   6  20   2415555.5    22.4806
1901   6  21   2415556.5    22.4807
1901   6  22   2415557.5    22.4807
1901   6  23   2415558.5    22.4807
1901   6  24   2415559.5    22.4808
1901   6  25   2415560.5    22.4808
1901   6  26   2415561.5    22.4808
1901   6  27   2415562.5    22.4809
1901   6  28   2415563.5    22.4809
1901   6  29   2415564.5    22.4810
1901   6  30   2415565.5    22.4810
1901   7   1   2415566.5    22.4810
1901   7   2   2415567.5    22.4811
1901   7   3   2415568.5    22.4811
1901   7   4   2415569.5    22.4812
1901   7   5   2415570.5    22.4812
1901   7   6   2415571.5    22.4812
1901   7   7   2415572.5    22.4813
1901   7   8   2415573.5    22.4813
1901   7   9   2415574.5    22.4813
1901   7  10   2415575.5    22.4814
1901   7  11   2415576.5    22.4814
1901   7  12   2415577.5    22.4815
1901   7  13   2415578.5    22.4815
1901   7  14   2415579.5    22.4815
1901   7  15   2415580.5    22.4816
1901   7  16   2415581.5    22.4816
1901   7  17   2415582.5    22.4816
1901   7  18   2415583.5    22.4817
1901   7  19   2415584.5    22.4817
1901   7  20   2415585.5    22.4818
1901   7  21   2415586.5    22.4818
1901   7  22   2415587.5    22.4818
1901   7  23   2415588.5    22.4819
1901   7  24   2415589.5    22.4819
1901   7  25   2415590.5    22.4820
1901   7  26   2415591.5    22.4820
1901   7  27   2415592.5    22.4820
1901   7  28   2415593.5    22.4821
1901   7  29   2415594.5    22.4821
1901   7  30   2415595.5    22.4821
1901   7  31   2415596.5    22.4822
1901   8   1   2415597.5    22.4822
1901   8   2   2415598.5    22.4823
1901   8   3   2415599.5    22.4823
1901   8   4   2415600.5    22.4823
1901   8   5   2415601.5    22.4824
1901   8   6   2415602.5    22.4824
1901   8   7   2415603.5    22.4825
1901   8   8   2415604.5    22.4825
1901   8   9   2415605.5    22.4825
1901   8  10   2415606.5    22.4826
1901   8  11   2415607.5    22.4826
1901   8  12   2415608.5    22.4826
1901   8  13   2415609.5    22.4827
1901   8  14   2415610.5    22.4827
1901   8  15   2415611.5    22.4828
1901   8  16   2415612.5    22.4828
1901   8  17   2415613.5    22.4828
1901   8  18   2415614.5    22.4829
1901   8  19   2415615.5    22.4829
1901   8  20   2415616.5    22.4829
1901   8  21   2415617.5    22.4830
1901   8  22   2415618.5    22.4830
1901   8  23   2415619.5    22.4831
1901   8  24   2415620.5    22.4831
1901   8  25   2415621.5    22.4831
1901   8  26   2415622.5    22.4832
1901   8  27   2415623.5    22.4832
1901   8  28   2415624.5    22.4833
1901   8  29   2415625.5    22.4833
1901   8  30   2415626.5    22.4833
1901   8  31   2415627.5    22.4834
1901   9   1   2415628.5    22.4834
1901   9   2   2415629.5    22.4834
1901   9   3   2415630.5    22.4835
1901   9   4   2415631.5    22.4835
1901   9   5   2415632.5    22.4836
1901   9   6   2415633.5    22.4836
1901   9   7   2415634.5    22.4836
1901   9   8   2415635.5    22.4837
1901   9   9   2415636.5    22.4837
1901   9  10   2415637.5    22.4837
1901   9  11   2415638.5    22.4838
1901   9  12   2415639.5    22.4838
1901   9  13   2415640.5    22.4839
1901   9  14   2415641.5    22.4839
1901   9  15   2415642.5    22.4839
1901   9  16   2415643.5    22.4840
1901   9  17   2415644.5    22.4840
1901   9  18   2415645.5    22.4841
1901   9  19   2415646.5    22.4841
1901   9  20   2415647.5    22.4841
1901   9  21   2415648.5    22.4842
1901   9  22   2415649.5    22.4842
1901   9  23   2415650.5    22.4842
1901   9  24   2415651.5    22.4843
1901   9  25   2415652.5    22.4843
1901   9  26   2415653.5    22.4844
1901   9  27   2415654.5    22.4844
1901   9  28   2415655.5    22.4844
1901   9  29   2415656.5    22.4845
1901   9  30   2415657.5    22.4845
1901  10   1   2415658.5    22.4846
1901  10   2   2415659.5    22.4846
1901  10   3   2415660.5    22.4846
1901  10   4   2415661.5    22.4847
1901  10   5   2415662.5    22.4847
1901  10   6   2415663.5    22.4847
1901  10   7   2415664.5    22.4848
1901  10   8   2415665.5    22.4848
1901  10   9   2415666.5    22.4849
1901  10  10   2415667.5    22.4849
1901  10  11   2415668.5    22.4849
1901  10  12   2415669.5    22.4850
1901  10  13   2415670.5    22.4850
1901  10  14   2415671.5    22.4850
1901  10  15   2415672.5    22.4851
1901  10  16   2415673.5    22.4851
1901  10  17   2415674.5    22.4852
1901  10  18   2415675.5    22.4852
1901  10  19   2415676.5    22.4852
1901  10  20   2415677.5    22.4853
1901  10  21   2415678.5    22.4853
1901  10  22   2415679.5    22.4854
1901  10  23   2415680.5    22.4854
1901  10  24   2415681.5    22.4854
1901  10  25   2415682.5    22.4855
1901  10  26   2415683.5    22.4855
1901  10  27   2415684.5    22.4855
1901  10  28   2415685.5    22.4856
1901  10  29   2415686.5    22.4856
1901  10  30   2415687.5    22.4857
1901  10  31   2415688.5    22.4857
1901  11   1   2415689.5    22.4857
1901  11   2   2415690.5    22.4858
1901  11   3   2415691.5    22.4858
1901  11   4   2415692.5    22.4859
1901  11   5   2415693.5    22.4859
1901  11   6   2415694.5    22.4859
1901  11   7   2415695.5    22.4860
1901  11   8   2415696.5    22.4860
1901  11   9   2415697.5    22.4860
1901  11  10   2415698.5    22.4861
1901  11  11   2415699.5    22.4861
1901  11  12   2415700.5    22.4862
1901  11  13   2415701.5    22.4862
1901  11  14   2415702.5    22.4862
1901  11  15   2415703.5    22.4863
1901  11  16   2415704.5    22.4863
1901  11  17   2415705.5    22.4863
1901  11  18   2415706.5    22.4864
1901  11  19   2415707.5    22.4864
1901  11  20   2415708.5    22.4865
1901  11  21   2415709.5    22.4865
1901  11  22   2415710.5    22.4865
1901  11  23   2415711.5    22.4866
1901  11  24   2415712.5    22.4866
1901  11  25   2415713.5    22.4867
1901  11  26   2415714.5    22.4867
1901  11  27   2415715.5    22.4867
1901  11  28   2415716.5    22.4868
1901  11  29   2415717.5    22.4868
1901  11  30   2415718.5    22.4868
1901  12   1   2415719.5    22.4869
1901  12   2   2415720.5    22.4869
1901  12   3   2415721.5    22.4870
1901  12   4   2415722.5    22.4870
1901  12   5   2415723.5    22.4870
1901  12   6   2415724.5    22.4871
1901  12   7   2415725.5    22.4871
1901  12   8   2415726.5    22.4872
1901  12   9   2415727.5    22.4872
1901  12  10   2415728.5    22.4872
1901  12  11   2415729.5    22.4873
1901  12  12   2415730.5    22.4873
1901  12  13   2415731.5    22.4873
1901  12  14   2415732.5    22.4874
1901  12  15   2415733.5    22.4874
1901  12  16   2415734.5    22.4875
1901  12  17   2415735.5    22.4875
1901  12  18   2415736.5    22.4875
1901  12  19   2415737.5    22.4876
1901  12  20   2415738.5    22.4876
1901  12  21   2415739.5    22.4876
1901  12  22   2415740.5    22.4877
1901  12  23   2415741.5    22.4877
1901  12  24   2415742.5    22.4878
1901  12  25   2415743.5    22.4878
1901  12  26   2415744.5    22.4878
1901  12  27   2415745.5    22.4879
1901  12  28   2415746.5    22.4879
1901  12  29   2415747.5    22.4880
1901  12  30   2415748.5    22.4880
1901  12  31   2415749.5    22.4880
1902   1   1   2415750.5    22.4881
1902   1   2   2415751.5    22.4881
1902   1   3   2415752.5    22.4881
1902   1   4   2415753.5    22.4882
1902   1   5   2415754.5    22.4882
1902   1   6   2415755.5    22.4883
1902   1   7   2415756.5    22.4883
1902   1   8   2415757.5    22.4883
1902   1   9   2415758.5    22.4884
1902   1  10   2415759.5    22.4884
1902   1  11   2415760.5    22.4885
1902   1  12   2415761.5    22.4885
1902   1  13   2415762.5    22.4885
1902   1  14   2415763.5    22.4886
1902   1  15   2415764.5    22.4886
1902   1  16   2415765.5    22.4886
1902   1  17   2415766.5    22.4887
1902   1  18   2415767.5    22.4887
1902   1  19   2415768.5    22.4888
1902   1  20   2415769.5    22.4888
1902   1  21   2415770.5    22.4888
1902   1  22   2415771.5    22.4889
1902   1  23   2415772.5    22.4889
1902   1  24   2415773.5    22.4889
1902   1  25   2415774.5    22.4890
1902   1  26   2415775.5    22.4890
